group_by,group_value,method,dimension,mae_mm,rmse_mm,median_absolute_error_mm,max_absolute_error_mm,p95_absolute_error_mm,mean_percentage_error,median_percentage_error,std_error_mm
global,all,OpenCV Reference,length,14.552791803885665,18.490237044149815,23.31094882143556,25.044282688198898,24.84153559546787,20.21221083873009,32.376317807549384,11.806707385223643
global,all,OpenCV Reference,width,13.673979376689594,17.458746214281796,21.744361100396333,23.81551762041515,23.52817208401161,27.906080360591,44.376247143665985,11.235948719268693
global,all,AnyCalib,length,14.473466783837438,18.36907572486733,23.40669412624576,24.19511415323445,24.14167214606865,20.102037199774216,32.50929739756356,11.708133722349874
global,all,AnyCalib,width,13.477694232508666,17.200506837846614,21.7595860757242,23.22047503455292,22.834985887355842,27.505498433691155,44.407318521886125,11.061961543980866
global,all,GeoCalib,length,14.577846604271599,18.406638804314085,23.376000006376934,24.197022538078258,24.163706111513612,20.24700917259944,32.46666667552352,11.632347468595988
global,all,GeoCalib,width,13.497200589449779,17.189984757403746,21.752109125385743,22.893882892813323,22.723234088977335,27.545307325407713,44.39205943956274,11.018871095660472
global,all,Perspective Fields,length,1880.1338377770835,6371.232873764968,22.851773240047933,24416.611463991263,9820.694054972233,2611.2969969126157,31.738573944511018,6301.1652905113815
global,all,Perspective Fields,width,40809.82537083667,135440.37037118938,22.000439235288127,515640.95472039666,222109.99061894952,83285.35789966668,44.89885558222066,133678.6608658191
experimental_setup_height_mm,320.0,OpenCV Reference,length,15.70549832374432,19.07988441495576,22.211726094161406,24.46574024305577,24.240338828166333,21.813192116311555,30.849619575224175,13.269098218658419
experimental_setup_height_mm,320.0,OpenCV Reference,width,15.53335116434576,18.996721100600265,22.703320511740714,23.81551762041515,23.704297909547705,31.70071666193012,46.33330716681778,13.393491750423578
experimental_setup_height_mm,320.0,AnyCalib,length,15.72236763110832,19.253953852892707,23.257137336386748,23.900830453653676,23.836461141926982,21.83662170987267,32.30157963387048,13.611864037022952
experimental_setup_height_mm,320.0,AnyCalib,width,15.304582030670254,18.735970468505183,22.66977625284281,23.22047503455292,23.165405156381908,31.233840878918883,46.26484949559757,13.236673955143539
experimental_setup_height_mm,320.0,GeoCalib,length,15.827471937411225,19.325658121235566,23.369865819102095,23.963941087537677,23.90453356069412,21.98259991307115,32.458146970975136,13.58154228480726
experimental_setup_height_mm,320.0,GeoCalib,width,15.210066877817576,18.574678283427726,22.60328401174597,22.893882892813323,22.864823004706587,31.04095281187261,46.129151044379526,13.057902142294429
experimental_setup_height_mm,320.0,Perspective Fields,length,1215.8146132014242,2058.7391591299424,56.5097511897857,3565.3008796783965,3214.421766829535,1688.6314072242,78.48576554136903,2034.773360227473
experimental_setup_height_mm,320.0,Perspective Fields,width,171900.24643522492,297705.4450731991,37.194150210413596,515640.95472039666,464080.578663378,350816.8294596427,75.90642900084407,297688.18577936676
experimental_setup_height_mm,490.0,OpenCV Reference,length,24.507933532871956,24.514472847456176,24.75464398429743,25.044282688198898,25.01531881780875,34.03879657343327,34.38144997819087,0.6934402681521102
experimental_setup_height_mm,490.0,OpenCV Reference,width,22.822746476434517,22.826931681068693,22.71131451530698,23.405023996981527,23.335653048814073,46.577033625376565,46.349621459810166,0.5353315485379777
experimental_setup_height_mm,490.0,AnyCalib,length,23.932510166531276,23.93463500819057,24.11876842871188,24.19511415323445,24.187479580782192,33.239597453515664,33.49828948432206,0.39059589893900465
experimental_setup_height_mm,490.0,AnyCalib,width,22.002057800891873,22.00329013954734,21.93774225056086,22.313933057564626,22.276313976864248,44.90215877733035,44.77090255216502,0.2852091109546527
experimental_setup_height_mm,490.0,GeoCalib,length,23.959808330886087,23.96171709675805,24.149427642985906,24.197022538078258,24.19226304856902,33.277511570675124,33.54087172636932,0.3704139014711829
experimental_setup_height_mm,490.0,GeoCalib,width,22.08751699323047,22.09123495458854,21.90113941828892,22.650098887333343,22.575202940428902,45.07656529230709,44.696202894467184,0.49636915585534835
experimental_setup_height_mm,490.0,Perspective Fields,length,8152.7208919959385,14096.947426993649,21.682013706804952,24416.611463991263,21977.118518962816,11323.223461105472,30.11390792611799,14084.942428883185
experimental_setup_height_mm,490.0,Perspective Fields,width,32117.588659893005,55605.18789826969,23.53957451152732,96311.00600404426,86682.25936109098,65546.09930590409,48.03994798270882,55593.13023938917
experimental_setup_height_mm,630.0,OpenCV Reference,length,8.486785546574604,13.873082553703108,1.095915934875066,24.001129808444972,21.71060842108798,11.787202148020285,1.5221054651042585,13.440808604487712
experimental_setup_height_mm,630.0,OpenCV Reference,width,7.641653133036324,12.528660693068069,0.7778540524186397,21.681328635829544,19.59098117748845,15.595210475584333,1.5874572498339585,12.15971686490181
experimental_setup_height_mm,630.0,AnyCalib,length,8.579154170783829,13.892129641303097,1.2112246336527335,24.026166175458954,21.74467202127833,11.91549190386643,1.6822564356287966,13.382229617184194
experimental_setup_height_mm,630.0,AnyCalib,width,7.619610912052899,12.570938380618223,0.5789278589817926,21.7595860757242,19.641520254049958,15.550226351128366,1.1814854264934542,12.245612764469447
experimental_setup_height_mm,630.0,GeoCalib,length,8.631211619462645,13.894347556085323,1.1408144246195775,24.02772269152137,21.739031864831187,11.98779391592034,1.584464478638302,13.335389757484439
experimental_setup_height_mm,630.0,GeoCalib,width,7.668261071180709,12.569111252845163,0.6927654677302186,21.752109125385743,19.646174759620187,15.649512390164714,1.4138070770004463,12.197151091378679
experimental_setup_height_mm,630.0,Perspective Fields,length,8.163818854175476,13.387504500146655,0.8422047188165749,23.167530423179464,20.934997852743173,11.338637297465938,1.1697287761341317,12.994845427571807
experimental_setup_height_mm,630.0,Perspective Fields,width,8.3004353311744,13.627998727866792,0.6918098200300591,23.586006612403438,21.296586933166097,16.939663941172245,1.4118567755715492,13.237737116274664
experimental_setup_height_mm,780.0,OpenCV Reference,length,15.925174555884517,19.248846286671167,23.522902001760492,23.618318983935254,23.60877728571778,22.118297994284053,32.67069722466735,13.242369429175207
experimental_setup_height_mm,780.0,OpenCV Reference,width,14.849648556435211,18.094369675332892,22.036970199148215,22.28313755949364,22.258520823459097,30.305405217214712,44.973408569690235,12.662591659962517
experimental_setup_height_mm,780.0,AnyCalib,length,15.886820711984429,19.17039497564372,23.417677835791686,23.529025560073165,23.51789078764502,22.065028766645042,32.52455254971067,13.140375062423937
experimental_setup_height_mm,780.0,AnyCalib,width,14.876866885641915,18.11156564458498,22.082488703515892,22.279542031888354,22.259836699051107,30.360952827840645,45.06630347656305,12.65153993186217
experimental_setup_height_mm,780.0,GeoCalib,length,16.02829311135758,19.114617899147063,23.376000006376934,23.408943659453698,23.40564929414602,22.261518210218867,32.46666667552352,12.755142337512373
experimental_setup_height_mm,780.0,GeoCalib,width,14.888028948164859,18.10347023229713,22.106699751510348,22.23503584719201,22.222202237623844,30.383732547275226,45.11571377859255,12.614410122372362
experimental_setup_height_mm,780.0,Perspective Fields,length,15.947619616488069,18.74412392719546,22.851773240047933,22.97279972651326,22.960697077866726,22.149471689566763,31.738573944511018,12.063308648492727
experimental_setup_height_mm,780.0,Perspective Fields,width,15.146565179438648,18.360778818424656,22.000439235288127,22.958754049292054,22.862922567891662,30.911357509058462,44.89885558222066,12.710218059742026
experimental_setup_height_mm,930.0,OpenCV Reference,length,8.13856706035294,13.47080021965126,0.9864279219085148,23.31094882143556,21.078496731482854,11.303565361601306,1.3700387804284928,13.146835251985236
experimental_setup_height_mm,930.0,OpenCV Reference,width,7.522497553196139,12.558714966814497,0.47462292341482737,21.744361100396333,19.617387282698182,15.352035822849265,0.9686182110506681,12.316656537785441
experimental_setup_height_mm,930.0,AnyCalib,length,8.246481238779332,13.529150508881528,1.0860769640508892,23.40669412624576,21.17463241002627,11.453446164971295,1.5084402278484572,13.135836136525329
experimental_setup_height_mm,930.0,AnyCalib,width,7.58535353328639,12.571734532864982,0.5194509455510641,21.763545401011967,19.639135955465875,15.480313333237527,1.0601039705123758,12.278696242265886
